start_s,end_s,midi_or_hz,confidence
12.469,12.569,295.37,0.01
12.492,12.592,295.37,0.01
12.516,12.616,295.37,0.01
12.539,12.639,295.37,0.02
12.562,12.662,297.08,0.02
12.585,12.685,297.08,0.03
12.608,12.708,297.08,0.03
12.632,12.732,297.08,0.03
12.655,12.755,297.08,0.03
12.678,12.778,297.08,0.03
12.701,12.801,297.08,0.05
12.725,12.825,297.08,0.05
12.748,12.848,295.37,0.03
12.771,12.871,295.37,0.02
12.794,12.894,295.37,0.03
12.817,12.917,295.37,0.03
12.841,12.941,295.37,0.03
12.864,12.964,295.37,0.03
12.887,12.987,295.37,0.04
12.91,13.01,295.37,0.04
12.934,13.034,297.08,0.05
12.957,13.057,297.08,0.06
12.98,13.08,297.08,0.05
13.003,13.103,295.37,0.03
13.026,13.126,295.37,0.03
13.05,13.15,295.37,0.03
13.073,13.173,295.37,0.01
13.096,13.196,295.37,0.02
13.119,13.219,297.08,0.02
13.142,13.242,297.08,0.03
13.166,13.266,297.08,0.06
13.189,13.289,297.08,0.07
13.212,13.312,297.08,0.08
13.235,13.335,297.08,0.09
13.259,13.359,297.08,0.24
13.282,13.382,297.08,0.21
13.305,13.405,297.08,0.24
13.328,13.428,297.08,0.18
13.351,13.451,297.08,0.18
13.375,13.475,297.08,0.18
13.398,13.498,295.37,0.15
13.421,13.521,295.37,0.21
13.444,13.544,295.37,0.18
13.468,13.568,295.37,0.24
13.491,13.591,295.37,0.24
13.514,13.614,295.37,0.32
13.537,13.637,295.37,0.32
13.56,13.66,295.37,0.32
13.584,13.684,295.37,0.28
13.607,13.707,295.37,0.24
13.63,13.73,295.37,0.18
13.653,13.753,295.37,0.18
13.677,13.777,295.37,0.13
13.7,13.8,293.66,0.09
13.723,13.823,291.97,0.06
13.746,13.846,288.62,0.01
13.769,13.869,267.74,0.03
13.793,13.893,266.2,0.07
13.816,13.916,264.67,0.21
13.839,13.939,264.67,0.28
13.862,13.962,264.67,0.37
13.886,13.986,264.67,0.43
13.909,14.009,264.67,0.55
13.932,14.032,264.67,0.76
13.955,14.055,264.67,0.83
13.978,14.078,264.67,0.83
14.002,14.102,264.67,0.83
14.025,14.125,264.67,0.83
14.048,14.148,264.67,0.83
14.071,14.171,264.67,0.83
14.095,14.195,264.67,0.83
14.118,14.218,264.67,0.76
14.141,14.241,264.67,0.69
14.164,14.264,264.67,0.69
14.187,14.287,264.67,0.55
14.211,14.311,266.2,0.55
14.234,14.334,264.67,0.48
14.257,14.357,264.67,0.55
14.28,14.38,264.67,0.62
14.303,14.403,264.67,0.55
14.327,14.427,264.67,0.62
14.35,14.45,264.67,0.69
14.373,14.473,264.67,0.62
14.396,14.496,264.67,0.69
14.42,14.52,264.67,0.55
14.443,14.543,264.67,0.55
14.466,14.566,264.67,0.62
14.489,14.589,264.67,0.48
14.512,14.612,264.67,0.48
14.536,14.636,266.2,0.48
14.559,14.659,266.2,0.48
14.582,14.682,266.2,0.48
14.605,14.705,266.2,0.48
14.629,14.729,266.2,0.48
14.652,14.752,266.2,0.43
14.675,14.775,266.2,0.48
14.698,14.798,266.2,0.48
14.721,14.821,266.2,0.43
14.745,14.845,264.67,0.43
14.768,14.868,266.2,0.43
14.791,14.891,266.2,0.43
14.814,14.914,266.2,0.37
14.838,14.938,266.2,0.37
14.861,14.961,266.2,0.28
14.884,14.984,266.2,0.28
14.907,15.007,264.67,0.32
14.93,15.03,266.2,0.28
14.954,15.054,266.2,0.18
14.977,15.077,264.67,0.11
15.0,15.1,264.67,0.06
15.023,15.123,264.67,0.04
15.047,15.147,266.2,0.01
15.07,15.17,266.2,0.03
15.093,15.193,267.74,0.13
15.116,15.216,267.74,0.24
15.139,15.239,267.74,0.37
15.163,15.263,267.74,0.48
15.186,15.286,267.74,0.55
15.209,15.309,269.29,0.69
15.232,15.332,269.29,0.76
15.256,15.356,269.29,0.83
15.279,15.379,269.29,0.83
15.302,15.402,270.85,0.83
15.325,15.425,270.85,0.83
15.348,15.448,270.85,0.83
15.372,15.472,270.85,0.83
15.395,15.495,270.85,0.83
15.418,15.518,270.85,0.83
15.441,15.541,270.85,0.83
15.464,15.564,270.85,0.83
15.488,15.588,270.85,0.83
15.511,15.611,270.85,0.83
15.534,15.634,270.85,0.83
15.557,15.657,270.85,0.83
15.581,15.681,270.85,0.76
15.604,15.704,270.85,0.83
15.627,15.727,269.29,0.76
15.65,15.75,269.29,0.69
15.673,15.773,269.29,0.62
15.697,15.797,267.74,0.32
15.72,15.82,266.2,0.15
15.743,15.843,266.2,0.24
15.766,15.866,264.67,0.28
15.79,15.89,264.67,0.28
15.813,15.913,264.67,0.37
15.836,15.936,264.67,0.48
15.859,15.959,264.67,0.55
15.882,15.982,264.67,0.76
15.906,16.006,264.67,0.83
15.929,16.029,264.67,0.89
15.952,16.052,264.67,0.83
15.975,16.075,264.67,0.83
15.999,16.099,264.67,0.83
16.022,16.122,264.67,0.76
16.045,16.145,263.14,0.76
16.068,16.168,263.14,0.69
16.091,16.191,261.63,0.55
16.115,16.215,260.12,0.43
16.138,16.238,255.65,0.43
16.161,16.261,252.71,0.48
16.184,16.284,251.26,0.48
16.208,16.308,249.81,0.37
16.231,16.331,246.94,0.28
16.254,16.354,245.52,0.21
16.277,16.377,242.7,0.15
16.3,16.4,239.91,0.05
16.324,16.424,239.91,0.01
16.347,16.447,223.85,0.01
16.37,16.47,223.85,0.03
16.393,16.493,223.85,0.15
16.417,16.517,223.85,0.28
16.44,16.54,223.85,0.37
16.463,16.563,223.85,0.48
16.486,16.586,223.85,0.55
16.509,16.609,223.85,0.76
16.533,16.633,225.14,0.83
16.556,16.656,226.45,0.83
16.579,16.679,227.76,0.89
16.602,16.702,227.76,0.95
16.625,16.725,227.76,0.89
